"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",4666.4,4881.8,4963,5054,5107.1,5073.1,5140.2,4903.7,4740,4660.2,4590.5,4451,4316.5,4052.5,3743.6,3618.3,3658.1,3630.6,3591.2,3514.1,3431.5,3346.6,3276.4,3214.6,3041.3,2945.9,2905.4,2868,2733.6,2574.1,2500.5,2451.6,2362.9,2209.8,2130.6,1958.2
"Mississippi",2994.8,3070.9,3168.8,3267.6,3204.1,3528.8,3831.7,3870.7,3984.4,4343.3,4011.7,4034.6,4161.3,3973.3,3921.1,3643.5,3832.8,3822.6,3707.3,3481.1,3274.2,3190.2,3113.9,2909.1,2958.2,2983,3016.3,2810.5,2725.3,2902.6,2869.6,2764.1,2768.3,2405.3,2341.2,2101.6
