"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",558.1,620.1,612.5,640.6,666.9,729.6,758.2,757.7,747.1,713.6,684.5,636.6,611,567.6,523,506.5,504.5,494.4,475.8,463.2,469,479.3,471.8,458.6,431.9,404.5,387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5
"Alabama",457.5,558,559.2,558.6,590.8,708.6,844.2,871.7,780.4,683.7,632.4,565.4,564.5,512.1,490.2,486.2,438.2,445,429.2,427,432.6,425.2,448.9,452.8,450.1,383.7,419.8,450.3,431,427.7,473,532.4,522.4,523.1,504.7,453.6
