"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",4666.4,4881.8,4963,5054,5107.1,5073.1,5140.2,4903.7,4740,4660.2,4590.5,4451,4316.5,4052.5,3743.6,3618.3,3658.1,3630.6,3591.2,3514.1,3431.5,3346.6,3276.4,3214.6,3041.3,2945.9,2905.4,2868,2733.6,2574.1,2500.5,2451.6,2362.9,2209.8,2130.6,1958.2
"North Dakota",2632.4,2554.2,2776.2,2668.9,2497.7,2848.5,2728.5,2820,2738.1,2654.1,2779.6,2585.1,2624.2,2591.7,2327.4,2206.6,2330.4,2328.7,2109.9,1963.4,2024.6,2100.9,2000.3,2031.1,1980.8,1780.2,1947.3,2038.5,2121.4,2142.7,2340.8,2309.7,2205.2,2060.6,1999.4,2124.1
