"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",558.1,620.1,612.5,640.6,666.9,729.6,758.2,757.7,747.1,713.6,684.5,636.6,611,567.6,523,506.5,504.5,494.4,475.8,463.2,469,479.3,471.8,458.6,431.9,404.5,387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5
"North Dakota",47,51.3,56.8,59.1,63.2,73.9,65.4,83.3,82.2,81.8,86.7,84,87.2,89.3,66.9,81.4,79.3,78.2,80.2,87.7,111.3,197.4,209.9,224.6,266.4,229.5,248.1,245.7,273.4,270.4,257.5,252.1,282.5,284.1,301.4,329
