"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",4666.4,4881.8,4963,5054,5107.1,5073.1,5140.2,4903.7,4740,4660.2,4590.5,4451,4316.5,4052.5,3743.6,3618.3,3658.1,3630.6,3591.2,3514.1,3431.5,3346.6,3276.4,3214.6,3041.3,2945.9,2905.4,2868,2733.6,2574.1,2500.5,2451.6,2362.9,2209.8,2130.6,1958.2
"Virginia",3484.4,3553.8,3664.5,3877.5,3898.9,4090,4234.2,3923.6,3743.3,3689.9,3627.7,3627,3530.9,3334.7,3059.3,2746.4,2883.3,2851.1,2721.5,2678.2,2649.3,2489.3,2486.5,2532.2,2461.4,2335.5,2256.8,2179.6,2074.4,1944.4,1885.9,1869.3,1801.7,1681.3,1647.2,1456.4
