"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",558.1,620.1,612.5,640.6,666.9,729.6,758.2,757.7,747.1,713.6,684.5,636.6,611,567.6,523,506.5,504.5,494.4,475.8,463.2,469,479.3,471.8,458.6,431.9,404.5,387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5
"Mississippi",270.9,274.1,269.8,325.2,311.2,340.4,389.1,411.7,433.9,493.7,502.8,488.3,469,410.7,349.3,360.9,349.9,343.9,323.9,295.4,279.6,311.8,291.3,304.3,286.3,269.3,269,260.1,277.5,278.3,274,281.7,256.2,266,261.2,291.2
