"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",4666.4,4881.8,4963,5054,5107.1,5073.1,5140.2,4903.7,4740,4660.2,4590.5,4451,4316.5,4052.5,3743.6,3618.3,3658.1,3630.6,3591.2,3514.1,3431.5,3346.6,3276.4,3214.6,3041.3,2945.9,2905.4,2868,2733.6,2574.1,2500.5,2451.6,2362.9,2209.8,2130.6,1958.2
"Alabama",3484.6,3730.3,3892.2,4003.1,4037,4206.7,4521.4,4396.4,4098.4,4219.4,4215.7,4254.7,4325.3,4085,3922.3,4059.7,3876.8,4027.8,4046.4,4029.3,3900.2,3941,3977.7,4084.5,3780.4,3528,3605.4,3505.5,3347.9,3179.4,2982.9,2947.4,2949.1,2837.8,2622.8,2136.8
