"series",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"United States",558.1,620.1,612.5,640.6,666.9,729.6,758.2,757.7,747.1,713.6,684.5,636.6,611,567.6,523,506.5,504.5,494.4,475.8,463.2,469,479.3,471.8,458.6,431.9,404.5,387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4,380.8,398.5
"Virginia",294.7,306,295,299.2,312.5,350.6,373.2,374.9,372.2,357.7,361.5,341.3,345.2,325.7,314.7,281.7,291,291.7,278.2,275.5,283.4,283.7,272.8,257.8,230.8,214.2,197.6,191.5,197.8,198.4,199.6,219.8,210.4,204.2,209.4,208.7
